"GCAM_region_ID","fuel","service","year","pcgdp_thous","en_EJ","price","afford"
10,"traditional biomass","resid others TradBio",1984,1.773461568451,0,2.5416,315.44921946389
14,"traditional biomass","resid heating TradBio",1971,1.6000987525643,0,2.06656,350.036751714056
14,"traditional biomass","resid heating TradBio",1972,1.6367968390942,0,2.06656,358.064805596642
14,"traditional biomass","resid heating TradBio",1973,1.6746852401348,0,2.06656,366.353252048237
14,"traditional biomass","resid heating TradBio",1974,1.71412756579902,0,2.06656,374.981634223665
14,"traditional biomass","resid heating TradBio",1975,1.755409259818,0,2.06656,384.01239564167
14,"traditional biomass","resid heating TradBio",1976,1.79868739712882,0,2.06656,393.479897931912
14,"traditional biomass","resid heating TradBio",1977,1.84392482704868,0,2.06656,403.376014030787
14,"traditional biomass","resid heating TradBio",1978,1.89097593667181,0,2.06656,413.668889736505
14,"traditional biomass","resid heating TradBio",1979,1.93957811611105,0,2.06656,424.301076649889
14,"traditional biomass","resid heating TradBio",1980,2.01299845301771,0,2.06656,440.362470485347
14,"traditional biomass","resid heating TradBio",1981,2.06196384339726,0,2.06656,451.074113230772
14,"traditional biomass","resid heating TradBio",1982,2.12231346738011,0,2.06656,464.276164861815
14,"traditional biomass","resid heating TradBio",1983,2.17885999144643,0,2.06656,476.646252378709
14,"traditional biomass","resid heating TradBio",1984,2.23643678189417,0,2.06656,489.241720421008
14,"traditional biomass","resid heating TradBio",1985,2.28798566226744,0,2.06656,500.518526062811
14,"traditional biomass","resid heating TradBio",1986,2.35360879003362,0,2.06656,514.874206575516
14,"traditional biomass","resid heating TradBio",1987,2.46234314352991,0,2.06656,538.660875889876
14,"traditional biomass","resid heating TradBio",1988,2.51834581548014,0,2.06656,550.911990607233
14,"traditional biomass","resid heating TradBio",1989,2.60864364463061,0,2.06656,570.665495665598
14,"traditional biomass","resid others TradBio",1971,1.6000987525643,0,2.41006,300.146863406803
14,"traditional biomass","resid others TradBio",1972,1.6367968390942,0,2.41006,307.0306982622
14,"traditional biomass","resid others TradBio",1973,1.6746852401348,0,2.41006,314.137812565996
14,"traditional biomass","resid others TradBio",1974,1.71412756579902,0,2.41006,321.536412380297
14,"traditional biomass","resid others TradBio",1975,1.755409259818,0,2.41006,329.280041300735
14,"traditional biomass","resid others TradBio",1976,1.79868739712882,0,2.41006,337.398163477329
14,"traditional biomass","resid others TradBio",1977,1.84392482704868,0,2.41006,345.883810177117
14,"traditional biomass","resid others TradBio",1978,1.89097593667181,0,2.41006,354.709667300346
14,"traditional biomass","resid others TradBio",1979,1.93957811611105,0,2.41006,363.826474428684
14,"traditional biomass","resid others TradBio",1980,2.01299845301771,0,2.41006,377.598676799
14,"traditional biomass","resid others TradBio",1981,2.06196384339726,0,2.41006,386.783615112563
14,"traditional biomass","resid others TradBio",1982,2.12231346738011,0,2.41006,398.10401038017
14,"traditional biomass","resid others TradBio",1983,2.17885999144643,0,2.41006,408.711019358749
14,"traditional biomass","resid others TradBio",1984,2.23643678189417,0,2.41006,419.511285923686
14,"traditional biomass","resid others TradBio",1985,2.28798566226744,0,2.41006,429.180835838262
14,"traditional biomass","resid others TradBio",1986,2.35360879003362,0,2.41006,441.490436064122
14,"traditional biomass","resid others TradBio",1987,2.46234314352991,0,2.41006,461.88684915686
14,"traditional biomass","resid others TradBio",1988,2.51834581548014,0,2.41006,472.391842240145
14,"traditional biomass","resid others TradBio",1989,2.60864364463061,0,2.41006,489.32992818548
16,"traditional biomass","resid heating TradBio",1971,28.2162865325222,0,1.84698,6906.41293888204
16,"traditional biomass","resid heating TradBio",1972,29.0749266410892,0,1.84698,7116.57961509631
16,"traditional biomass","resid heating TradBio",1973,29.8909137200377,0,1.84698,7316.30624154361
16,"traditional biomass","resid heating TradBio",1974,30.3854531564438,0,1.84698,7437.35312552834
16,"traditional biomass","resid heating TradBio",1975,29.2404147540728,0,1.84698,7157.08562723309
16,"traditional biomass","resid others TradBio",1971,28.2162865325222,0,2.19048,5823.38417600542
16,"traditional biomass","resid others TradBio",1972,29.0749266410892,0,2.19048,6000.59357651774
16,"traditional biomass","resid others TradBio",1973,29.8909137200377,0,2.19048,6169.00008308965
16,"traditional biomass","resid others TradBio",1974,30.3854531564438,0,2.19048,6271.06500665988
16,"traditional biomass","resid others TradBio",1975,29.2404147540728,0,2.19048,6034.7476406025
18,"traditional biomass","resid heating TradBio",1971,0.426189329247585,0,1,192.671487001621
18,"traditional biomass","resid heating TradBio",1972,0.447865463457646,0,1,202.470824347941
18,"traditional biomass","resid heating TradBio",1973,0.479051932618207,0,1,216.569589791233
18,"traditional biomass","resid heating TradBio",1974,0.505491058226899,0,1,228.522178221925
18,"traditional biomass","resid heating TradBio",1975,0.523363774206203,0,1,236.602067905155
18,"traditional biomass","resid heating TradBio",1976,0.54109682945881,0,1,244.618819827672
18,"traditional biomass","resid heating TradBio",1977,0.573650336257974,0,1,259.335595053334
18,"traditional biomass","resid heating TradBio",1978,0.611562015632289,0,1,276.474690611342
18,"traditional biomass","resid heating TradBio",1979,0.639528949960862,0,1,289.117970145055
18,"traditional biomass","resid heating TradBio",1980,0.812189122090262,0,1,367.174105827424
18,"traditional biomass","resid heating TradBio",1981,0.856302197249639,0,1,387.11672570056
18,"traditional biomass","resid heating TradBio",1982,0.85553025556226,0,1,386.76774663755
18,"traditional biomass","resid heating TradBio",1983,0.871425848996185,0,1,393.953819618528
18,"traditional biomass","resid heating TradBio",1984,0.911931219735606,0,1,412.265470043222
18,"traditional biomass","resid heating TradBio",1985,0.914793460641412,0,1,413.559430669716
18,"traditional biomass","resid heating TradBio",1986,0.949027160306082,0,1,429.035786756818
18,"traditional biomass","resid heating TradBio",1987,0.976472360359286,0,1,441.443200885753
18,"traditional biomass","resid heating TradBio",1988,1.01359500118806,0,1,458.225588240532
18,"traditional biomass","resid heating TradBio",1989,1.0694140175977,0,1,483.46022495375
18,"traditional biomass","resid heating TradBio",1990,1.12660580091053,0,1,509.315461532791
18,"traditional biomass","resid heating TradBio",1991,1.18373655616165,0,1,535.143108572174
18,"traditional biomass","resid heating TradBio",1992,1.23951222083303,0,1,560.358146850375
18,"traditional biomass","resid heating TradBio",1993,1.29851583338315,0,1,587.032474404679
18,"traditional biomass","resid heating TradBio",1994,1.37434280380285,0,1,621.312298283388
18,"traditional biomass","resid heating TradBio",1995,1.46453002515059,0,1,662.084098169344
18,"traditional biomass","resid heating TradBio",1996,1.5555934640668,0,1,703.252018113383
18,"traditional biomass","resid heating TradBio",1997,1.60521488328362,0,1,725.684847777407
18,"traditional biomass","resid heating TradBio",1998,1.37485766847627,0,1,621.545058081498
18,"traditional biomass","resid heating TradBio",1999,1.36653375737044,0,1,617.78198796132
18,"traditional biomass","resid heating TradBio",2000,1.41411942056379,0,1,639.294493925765
18,"traditional biomass","resid heating TradBio",2001,1.4457275044057,0,1,653.583862751223
18,"traditional biomass","resid heating TradBio",2002,1.49040959744875,0,1,673.783723982256
18,"traditional biomass","resid heating TradBio",2003,1.54073380027941,0,1,696.534267757419
18,"traditional biomass","resid heating TradBio",2004,1.59667633672822,0,1,721.82474535634
18,"traditional biomass","resid heating TradBio",2005,1.66516735058041,0,1,752.788133173786
18,"traditional biomass","resid heating TradBio",2006,1.73356430371765,0,1,783.708998064036
18,"traditional biomass","resid heating TradBio",2007,1.81931452441842,0,1,822.474920623156
18,"traditional biomass","resid heating TradBio",2008,1.90336741183968,0,1,860.473513489909
18,"traditional biomass","resid heating TradBio",2009,1.96517591776935,0,1,888.415876025928
18,"traditional biomass","resid heating TradBio",2010,2.05974570560019,0,1,931.168944665548
18,"traditional biomass","resid heating TradBio",2011,2.15754898397338,0,1,975.38380830623
18,"traditional biomass","resid heating TradBio",2012,2.25693602222092,0,1,1020.31465742356
18,"traditional biomass","resid heating TradBio",2013,2.35063119807134,0,1,1062.67233185865
18,"traditional biomass","resid heating TradBio",2014,2.43617244786123,0,1,1101.34378293907
18,"traditional biomass","resid heating TradBio",2015,2.52277978149433,0,1,1140.49718874066
19,"traditional biomass","resid heating TradBio",1971,12.1303921822141,0,1,5483.90243318901
19,"traditional biomass","resid heating TradBio",1972,12.9623402879053,0,1,5860.00917174741
19,"traditional biomass","resid heating TradBio",1973,13.8050554250843,0,1,6240.98346522798
19,"traditional biomass","resid heating TradBio",1974,13.4523931038081,0,1,6081.5520360796
19,"traditional biomass","resid heating TradBio",1975,13.6967247189861,0,1,6192.00936663026
19,"traditional biomass","resid heating TradBio",1976,14.0825850397915,0,1,6366.44893299799
19,"traditional biomass","resid heating TradBio",1977,14.5538059636023,0,1,6579.47828372616
19,"traditional biomass","resid heating TradBio",1978,15.1820639254943,0,1,6863.50087047665
19,"traditional biomass","resid heating TradBio",1979,15.8792481768494,0,1,7178.68362425379
19,"traditional biomass","resid heating TradBio",1980,16.9054551930182,0,1,7642.61084675326
19,"traditional biomass","resid heating TradBio",1981,17.4811645210401,0,1,7902.87726990961
19,"traditional biomass","resid heating TradBio",1982,17.9284893103381,0,1,8105.10366651813
19,"traditional biomass","resid heating TradBio",1983,18.4333739051632,0,1,8333.35167502858
19,"traditional biomass","resid heating TradBio",1984,19.1421795444472,0,1,8653.78822081698
19,"traditional biomass","resid heating TradBio",1985,20.0292282424974,0,1,9054.80481125562
19,"traditional biomass","resid heating TradBio",1986,20.5898168028659,0,1,9308.23544433361
19,"traditional biomass","resid heating TradBio",1987,21.4651030122175,0,1,9703.93445398623
19,"traditional biomass","resid heating TradBio",1988,22.8265882677666,0,1,10319.4341174352
19,"traditional biomass","resid heating TradBio",1989,23.8440595460752,0,1,10779.4120913541
19,"traditional biomass","resid heating TradBio",1990,24.9209449153634,0,1,11266.2499617375
19,"traditional biomass","resid heating TradBio",1991,25.6850375777729,0,1,11611.6806409462
19,"traditional biomass","resid heating TradBio",1992,25.819877899338,0,1,11672.6391949991
19,"traditional biomass","resid heating TradBio",1993,25.6093008573211,0,1,11577.4416172338
19,"traditional biomass","resid heating TradBio",1994,25.7926827105123,0,1,11660.3448058374
19,"traditional biomass","resid heating TradBio",1995,26.4344505185326,0,1,11950.4749179623
19,"traditional biomass","resid heating TradBio",1996,27.1939624620053,0,1,12293.834747742
19,"traditional biomass","resid heating TradBio",1997,27.4327216545826,0,1,12401.7728999017
19,"traditional biomass","resid heating TradBio",1998,27.0752253073317,0,1,12240.1561063886
19,"traditional biomass","resid heating TradBio",1999,26.9627557042254,0,1,12189.3108970277
19,"traditional biomass","resid heating TradBio",2000,27.6691737602454,0,1,12508.6680652104
19,"traditional biomass","resid heating TradBio",2001,27.7403464736158,0,1,12540.8437945822
19,"traditional biomass","resid heating TradBio",2002,27.7341526195823,0,1,12538.0436797388
19,"traditional biomass","resid heating TradBio",2003,28.1216464467657,0,1,12713.221720961
19,"traditional biomass","resid heating TradBio",2004,28.7089498103493,0,1,12978.7295706823
19,"traditional biomass","resid heating TradBio",2005,29.1585563572887,0,1,13181.9875032951
19,"traditional biomass","resid heating TradBio",2006,29.5503606716765,0,1,13359.1142277019
19,"traditional biomass","resid heating TradBio",2007,30.0225057348366,0,1,13572.561362946
19,"traditional biomass","resid heating TradBio",2008,29.6838988080475,0,1,13419.4840904374
19,"traditional biomass","resid heating TradBio",2009,28.0724823312662,0,1,12690.995628963
19,"traditional biomass","resid heating TradBio",2010,29.2521277670145,0,1,13224.2892255943
19,"traditional biomass","resid heating TradBio",2011,29.2282296793829,0,1,13213.4853885094
19,"traditional biomass","resid heating TradBio",2012,29.6826341416463,0,1,13418.9123605996
19,"traditional biomass","resid heating TradBio",2013,30.3021740361484,0,1,13698.993687228
19,"traditional biomass","resid heating TradBio",2014,30.4502643529285,0,1,13765.9422933673
19,"traditional biomass","resid heating TradBio",2015,30.9067599234315,0,1,13972.3146127629
19,"traditional biomass","resid others TradBio",1971,12.1303921822141,0,1,5483.90243318901
19,"traditional biomass","resid others TradBio",1972,12.9623402879053,0,1,5860.00917174741
19,"traditional biomass","resid others TradBio",1973,13.8050554250843,0,1,6240.98346522798
19,"traditional biomass","resid others TradBio",1974,13.4523931038081,0,1,6081.5520360796
19,"traditional biomass","resid others TradBio",1975,13.6967247189861,0,1,6192.00936663026
19,"traditional biomass","resid others TradBio",1976,14.0825850397915,0,1,6366.44893299799
19,"traditional biomass","resid others TradBio",1977,14.5538059636023,0,1,6579.47828372616
